Box|||-0.1413893,5.960464E-08,2.540965|||1,1,1|||0,0,0,1
Box|||0.3586107,5.960464E-08,2.540965|||1,1,1|||0,0,0,1
Box|||0.8586106,5.960464E-08,2.540965|||1,1,1|||0,0,0,1
Box|||0.8586106,0.5000001,2.540965|||1,1,1|||0,0,0,1
Box|||0.6457369,-1.192093E-07,5.709785|||1,1,1|||0,0,0,1
Box|||-0.1413893,0.5000001,2.540965|||1,1,1|||0,0,0,1
Box|||0.6457369,-1.192093E-07,5.709785|||1,1,1|||0,0,0,1
Box|||0.3586106,0.5000001,2.540965|||1,1,1|||0,0,0,1
Box|||-0.1413893,1,2.540965|||1,1,1|||0,0,0,1
Box|||0.3586107,1,2.540965|||1,1,1|||0,0,0,1
Box|||0.8586106,1,2.540965|||1,1,1|||0,0,0,1
Box|||0.8586106,1.5,2.540965|||1,1,1|||0,0,0,1
Box|||0.3586106,1.5,2.540965|||1,1,1|||0,0,0,1
Box|||-0.1413893,1.5,2.540965|||1,1,1|||0,0,0,1
Dining Table 1|||1.878323,-5.960464E-08,0.4217719|||1,1,1|||0,0,0,1
Dining Table 1|||1.072723,-5.960464E-08,0.421772|||1,1,1|||0,0,0,1
Kitchen Sink 1|||-0.1913894,0.0002000332,1.978465|||1,1,1|||0,1,0,0
Mirror 1|||0.1185106,1.6739,2.273165|||1,1,1|||0,1,0,0
Chandelier 2|||2.598537,0,2.480323|||1,1,1|||0,0,0,1
Chandelier 2|||0.9251235,0.003699958,1.079772|||1,1,1|||0,0,0,1
Chair 1|||1.749023,9.995699E-05,-0.239028|||1,1,1|||0,0,0,1
Chair 1|||1.202023,9.995699E-05,-0.2390279|||1,1,1|||0,0,0,1
Chair 1|||0.2067367,-5.960464E-08,0.3853898|||1,1,1|||0,0.7150607,0,0.6990625
Chair 1|||0.281025,-5.960464E-08,-0.419325|||1,1,1|||0,0.343444,0,0.9391732
